batch,sourcefile,sourceline,fullpath,filename,bytes,timestamp,md5,relpath
Archive044,Archive044_2015-05-05_DPIdetails.txt,30,./Ims-026120-0001.mov,Ims-026120-0001.mov,34252700524,Wed Dec 10 15:28:57 EST 2014,56f004d593b81494d131ab6306266ce7,Ims-026120-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,31,./Ims-026121-0001.mov,Ims-026121-0001.mov,38085011756,Thu Dec 11 16:13:31 EST 2014,c3f88f125dd0c993b38a73f477501029,Ims-026121-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,32,./Ims-026122-0001.mov,Ims-026122-0001.mov,30789315148,Tue Dec 09 17:58:27 EST 2014,8d927e9e0db9f2abbb141a6bf74b4796,Ims-026122-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,33,./Ims-026123-0001.mov,Ims-026123-0001.mov,34495513964,Tue Dec 09 18:05:13 EST 2014,0b24520c58d0149288f93d6957b24132,Ims-026123-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,34,./Ims-026124-0001.mov,Ims-026124-0001.mov,19234030972,Fri Dec 12 16:20:58 EST 2014,6ba51de713ab93e84a23630d3d4591ea,Ims-026124-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,35,./Ims-026125-0001.mov,Ims-026125-0001.mov,37672793596,Thu Dec 11 16:26:07 EST 2014,ddba24cf257155cf70f4a1146ba65ee1,Ims-026125-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,36,./Ims-026126-0001.mov,Ims-026126-0001.mov,33512025484,Thu Dec 11 16:19:25 EST 2014,60dcdfaaa0b6fcc01e220206aa233aa1,Ims-026126-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,37,./Ims-026127-0001.mov,Ims-026127-0001.mov,32830642020,Tue Dec 09 17:51:50 EST 2014,648e485365eb28b3fc3d3ca146dd8211,Ims-026127-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,38,./Ims-026128-0001.mov,Ims-026128-0001.mov,26188094748,Tue Dec 09 18:16:38 EST 2014,364a405d758a39a971aad922f2edd537,Ims-026128-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,39,./Ims-026129-0001.mov,Ims-026129-0001.mov,31817978284,Tue Dec 09 17:31:54 EST 2014,99200ea83fda13dce450c839acef3583,Ims-026129-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,40,./Ims-026130-0001.mov,Ims-026130-0001.mov,33690841580,Wed Dec 10 15:57:42 EST 2014,34bb3831ccf656e7ec2420aad62ba8a7,Ims-026130-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,41,./Ims-026131-0001.mov,Ims-026131-0001.mov,11657875436,Wed Dec 10 15:59:49 EST 2014,a4e4e265218b991796b68d59d72ac478,Ims-026131-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,42,./Ims-026132-0001.mov,Ims-026132-0001.mov,52938041148,Wed Dec 10 15:51:37 EST 2014,49d0abb7b3ee3da1c6d9a72e2c73ed01,Ims-026132-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,43,./Ims-026133-0001.mov,Ims-026133-0001.mov,39771529852,Wed Dec 10 16:07:07 EST 2014,9d2c38efabbb34b2811db6119731cf7b,Ims-026133-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,44,./Ims-026134-0001.mov,Ims-026134-0001.mov,41454283404,Wed Dec 10 15:09:07 EST 2014,19ef3b89b99dbadff34c0e2476ccc042,Ims-026134-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,45,./Ims-026135-0001.mov,Ims-026135-0001.mov,37351865804,Wed Dec 10 15:16:28 EST 2014,bdf6b92895961cf0d0ef40d5fa65f8f5,Ims-026135-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,46,./Ims-026136-0001.mov,Ims-026136-0001.mov,33586375292,Tue Dec 09 18:35:35 EST 2014,82b0cece58abd087c0748db4a6842c42,Ims-026136-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,47,./Ims-026137-0001.mov,Ims-026137-0001.mov,33919537916,Tue Dec 09 18:47:59 EST 2014,28f181a6ced1ca402c58d776453bbf4d,Ims-026137-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,48,./Ims-026138-0001.mov,Ims-026138-0001.mov,33443322428,Tue Dec 16 08:55:05 EST 2014,b8f7f4363058b9b1326e0b6008adb6c9,Ims-026138-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,49,./Ims-026139-0001.mov,Ims-026139-0001.mov,25276132652,Fri Dec 12 16:25:27 EST 2014,270feb833c43d9743c40720b1cf5f2f0,Ims-026139-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,50,./Ims-026140-0001.mov,Ims-026140-0001.mov,33134629372,Wed Dec 10 15:35:04 EST 2014,ae2bfbf16546c1ded2f396710f2ee980,Ims-026140-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,51,./Ims-026141-0001.mov,Ims-026141-0001.mov,34146352044,Tue Dec 09 18:54:37 EST 2014,b7af0bcb6929d162031a6eb991b2b1aa,Ims-026141-0001.mov
Archive044,Archive044_2015-05-05_DPIdetails.txt,52,./Ims-026142-0001.mov,Ims-026142-0001.mov,34595274524,Tue Dec 09 17:38:17 EST 2014,a214b5f7fc25d95714ec9d997fb79863,Ims-026142-0001.mov
